playerID,birthYear,birthMonth,birthDay,birthCountry,birthState,birthCity,deathYear,deathMonth,deathDay,deathCountry,deathState,deathCity,nameFirst,nameLast,nameGiven,weight,height,bats,throws,debut,finalGame,retroID,bbrefID
volpean01,2001,04,28,USA,New Jersey,Watchung,,,,,,,Anthony,Volpe,Anthony,180,69,R,R,2023-03-30,,,,
doylebr02,1998,05,14,USA,Virginia,Warrenton,,,,,,,Brenton,Doyle,Brenton,200,74,R,R,2023-05-24,,,,
